Seed	Name	Team	Grade	Record	Scoring
28.	Augustine, Luca	Pittsburgh		15-9	Yes
11.	Brands, Nelson	Iowa		10-6	Yes
24.	Conigliaro, Philip	Harvard		11-5	Yes
20.	Cramer, Alex	Central Michigan		30-8	Yes
13.	DeVos, Cade	South Dakota State		25-7	Yes
27.	Eischens, Tyler	Stanford		19-8	Yes
22.	Faison, Alex	NC State		16-7	Yes
19.	Fisher, Troy	Northwestern		18-6	Yes
4.	Foca, Chris	Cornell		24-1	Yes
25.	Incontrera, Nick	Pennsylvania		21-9	Yes
10.	Jordan, Rocky	Chattanooga		19-2	Yes
2.	Labriola, Mikey	Nebraska		25-1	Yes
3.	Lewis, Mekhi	Virginia Tech		18-1	Yes
32.	Miller, Will	Appalachian State		24-10	Yes
7.	Mocco, Peyton	Missouri		20-4	Yes
12.	Olmos, Aaron	Oregon State		15-6	Yes
23.	O`Malley, Mickey	Drexel		15-4	Yes
8.	O`Reilly, Bailee	Minnesota		18-5	Yes
14.	Pasiuk, Benjamin	Army West Point		22-5	Yes
26.	Perrine, Sal	Ohio		22-7	Yes
18.	Picklo, Tate	Oklahoma		22-8	Yes
5.	Plott, Dustin	Oklahoma State		21-4	Yes
15.	Romero, Demetrius	Utah Valley		14-3	Yes
9.	Ruth, Edmond	Illinois		26-6	Yes
6.	Smith, Ethan	Ohio State		19-6	Yes
1.	Starocci, Carter	Penn State		19-0	Yes
31.	Stoltzfus, Tyler	Lock Haven		32-12	Yes
30.	Turley, Jackson	Rutgers		10-12	Yes
29.	Valencia, Cael	Arizona State		12-10	Yes
17.	Washington, Donnell	Indiana		22-7	Yes
21.	Wolak, Lennox	Columbia		19-9	Yes
16.	Wolf, Sam	Air Force		13-3	Yes
33.	Worthing, John	Clarion		19-9	Yes
