weight,round,result_type,winner_name,winner_team,winner_conf,winner_seed,winner_tpar_v1,winner_tpar_v3b,loser_name,loser_team,loser_conf,loser_seed,loser_tpar_v1,loser_tpar_v3b
125,Final,Dec,Luke Lilledahl,Penn State,Big Ten,1,4.8830,5.0780,Marc-Anthony McGowan,Princeton,CAA,10,2.6584,2.7553
125,3rd,MD,Nico Provo,Stanford,ACC,7,2.8472,3.0339,Vincent Robinson,NC State,ACC,12,2.8926,3.0242
125,5th,Fall,Troy Spratley,Oklahoma State,Big 12,5,3.3132,3.5395,Jacob Moran,Indiana,Big Ten,14,2.7268,2.9418
125,7th,MD,Jore Volk,Minnesota,Big Ten,6,2.7833,3.0226,Tyler Klinsky,Rider,MAC,11,3.5848,3.6248
125,C_SF,Dec,Nico Provo,Stanford,ACC,7,2.8472,3.0339,Jacob Moran,Indiana,Big Ten,14,2.7268,2.9418
125,C_SF,TB-1,Vincent Robinson,NC State,ACC,12,2.8926,3.0242,Troy Spratley,Oklahoma State,Big 12,5,3.3132,3.5395
125,C_QF,MD,Nico Provo,Stanford,ACC,7,2.8472,3.0339,Tyler Klinsky,Rider,MAC,11,3.5848,3.6248
125,C_QF,SV-1,Vincent Robinson,NC State,ACC,12,2.8926,3.0242,Jore Volk,Minnesota,Big Ten,6,2.7833,3.0226
125,C_R4,Dec,Nico Provo,Stanford,ACC,7,2.8472,3.0339,Sheldon Seymour,Lehigh,EIWA,4,4.1390,4.2035
125,C_R4,Dec,Tyler Klinsky,Rider,MAC,11,3.5848,3.6248,Dean Peterson,Iowa,Big Ten,8,2.2258,2.4437
125,C_R4,SV-1,Vincent Robinson,NC State,ACC,12,2.8926,3.0242,Eddie Ventresca,Virginia Tech,ACC,2,3.8890,3.9950
125,C_R4,Dec,Jore Volk,Minnesota,Big Ten,6,2.7833,3.0226,Jett Strickenberger,West Virginia,Big 12,17,1.9264,2.0844
125,SF,Dec,Luke Lilledahl,Penn State,Big Ten,1,4.8830,5.0780,Troy Spratley,Oklahoma State,Big 12,5,3.3132,3.5395
125,SF,Dec,Marc-Anthony McGowan,Princeton,CAA,10,2.6584,2.7553,Jacob Moran,Indiana,Big Ten,14,2.7268,2.9418
125,C_R3,Dec,Nico Provo,Stanford,ACC,7,2.8472,3.0339,Ezekiel Witt,North Dakota State,Big 12,16,2.0212,2.2188
125,C_R3,Fall,Tyler Klinsky,Rider,MAC,11,3.5848,3.6248,Nic Bouzakis,Ohio State,Big Ten,3,4.1794,4.4028
125,C_R3,MD,Vincent Robinson,NC State,ACC,12,2.8926,3.0242,Stevo Poulin,Iowa State,Big 12,13,2.7057,2.9243
125,C_R3,Dec,Jett Strickenberger,West Virginia,Big 12,17,1.9264,2.0844,Cooper Flynn,Chattanooga,SoCon,26,2.1587,2.0448
125,C_R2,MD,Ezekiel Witt,North Dakota State,Big 12,16,2.0212,2.2188,Spencer Moore,Illinois,Big Ten,18,2.1442,2.3487
125,C_R2,MD,Nico Provo,Stanford,ACC,7,2.8472,3.0339,Kael Lauridsen,Nebraska,Big Ten,25,0.7680,0.9408
125,C_R2,MD,Tyler Klinsky,Rider,MAC,11,3.5848,3.6248,Conrad Hendriksen,Oklahoma,Big 12,21,1.0367,1.2196
125,C_R2,Fall,Nic Bouzakis,Ohio State,Big Ten,3,4.1794,4.4028,Tyler Chappell,Pittsburgh,ACC,29,0.7152,0.7574
125,C_R2,Dec,Stevo Poulin,Iowa State,Big 12,13,2.7057,2.9243,Kysen Terukina,North Carolina,ACC,19,1.9832,2.1668
125,C_R2,Dec,Vincent Robinson,NC State,ACC,12,2.8926,3.0242,Brady Roark,South Dakota State,Big 12,27,1.5304,1.7880
125,C_R2,Dec,Cooper Flynn,Chattanooga,SoCon,26,2.1587,2.0448,Maximo Renteria,Oregon State,Pac-12,9,3.0100,3.1156
