Date,School,Opponent,
11/30,#6 Iowa State,#2 Iowa,
11/30,#49 Appalachian State,#7 NC State,
12/03,#3 Ohio State,#53 Bellarmine,
12/03,#65 Gardner-Webb,#71 Duke,
12/04,#8 Minnesota,#40 Little Rock,
12/04,#60 Kent State,Gannon,
12/05,#10 Missouri,#4 Nebraska,
12/05,#19 Lehigh,#18 Pittsburgh,
12/05,#43 Drexel,#1 Penn State,
12/05,#4 Nebraska,#58 Brown,
12/05,#17 Indiana,#52 Central Michigan,
12/05,#10 Missouri,#74 LIU,
12/05,#59 American,#41 Maryland,
12/05,#63 Clarion,#39 Lock Haven,
12/05,#65 Gardner-Webb,#45 Michigan State,
12/05,#74 LIU,#58 Brown,
12/05,#72 Bloomsburg,#66 Buffalo,
12/06,#27 Army West Point,#28 Wisconsin,
12/06,#50 SIU Edwardsville,#11 Northern Iowa,
12/06,Mercyhurst,Akron,
12/07,#7 NC State,#12 Rutgers,
12/07,#1 Penn State,#19 Lehigh,
12/07,#8 Minnesota,#31 North Dakota State,
12/07,#18 Pittsburgh,#37 Bucknell,
12/07,#40 Little Rock,#17 Indiana,
12/07,#12 Rutgers,#69 Davidson,
12/07,#7 NC State,#77 Morgan State,
12/07,#67 Hofstra,#28 Wisconsin,
12/07,#53 Bellarmine,#52 Central Michigan,
12/07,#61 The Citadel,#45 Michigan State,
12/07,#74 LIU,#72 Bloomsburg,
12/07,#77 Morgan State,#69 Davidson,
12/07,#72 Bloomsburg,Nassau Community College,
12/07,#36 Virginia,East Stroudsburg,
12/07,#36 Virginia,Bridgeport,
12/09,#74 LIU,Nassau Community College,
12/11,#53 Bellarmine,#48 Edinboro,
12/11,#60 Kent State,#48 Edinboro,
12/11,#60 Kent State,#53 Bellarmine,
12/12,#3 Ohio State,#7 NC State,
12/12,#23 North Carolina,#16 West Virginia,
12/12,#2 Iowa,#38 Utah Valley,
12/12,#2 Iowa,#57 Chattanooga,
12/12,#38 Utah Valley,#57 Chattanooga,
12/13,#25 Wyoming,#1 Penn State,
12/13,#12 Rutgers,#21 Oklahoma,
12/13,#17 Indiana,#27 Army West Point,
12/13,#41 Maryland,#18 Pittsburgh,
12/13,#60 Kent State,#65 Gardner-Webb,
12/13,#66 Buffalo,#60 Kent State,
12/13,#66 Buffalo,#65 Gardner-Webb,
12/13,#72 Bloomsburg,#62 Binghamton,
12/13,Mercyhurst,Penn State Altoona,
12/14,#16 West Virginia,#5 Oklahoma State,
12/14,#11 Northern Iowa,#10 Missouri,
12/14,#12 Rutgers,#43 Drexel,
12/14,#46 Rider,#21 Oklahoma,
12/14,#77 Morgan State,#29 Purdue,
12/15,#78 Presbyterian,#44 California Baptist,
12/17,#71 Duke,#49 Appalachian State,
12/18,#28 Wisconsin,#38 Utah Valley,
12/18,#28 Wisconsin,#39 Lock Haven,
12/18,#45 Michigan State,#59 American,
12/18,#72 Bloomsburg,Misericordia University,
12/18,#54 Air Force,#56 Franklin & Marshall,
12/18,#69 Davidson,#56 Franklin & Marshall,
12/18,#78 Presbyterian,#54 Air Force,
12/18,#78 Presbyterian,#56 Franklin & Marshall,
12/18,#69 Davidson,#78 Presbyterian,
12/18,#61 The Citadel,Truett-McConnell (Ga),
12/19,#4 Nebraska,#23 North Carolina,
12/19,#48 Edinboro,Gannon,
12/19,#42 Northern Illinois,#30 Oregon State,
12/19,#51 Northwestern,#39 Lock Haven,
12/19,#60 Kent State,#57 Chattanooga,
12/19,#62 Binghamton,#74 LIU,
12/19,#68 Northern Colorado,#73 Campbell,
12/20,#26 Stanford,#1 Penn State,
12/20,#31 North Dakota State,#1 Penn State,
12/20,#26 Stanford,#31 North Dakota State,
12/20,#28 Wisconsin,#32 Arizona State,
12/20,#18 Pittsburgh,#48 Edinboro,
12/20,#44 California Baptist,#43 Drexel,
12/20,#47 Cal Poly,#43 Drexel,
12/20,#47 Cal Poly,#44 California Baptist,
12/20,#69 Davidson,#64 Ohio,
12/20,#70 VMI,#72 Bloomsburg,
12/20,#70 VMI,#76 Sacred Heart,
12/20,#76 Sacred Heart,#72 Bloomsburg,
12/21,#3 Ohio State,#6 Iowa State,
12/21,#4 Nebraska,#5 Oklahoma State,
12/21,#19 Lehigh,#6 Iowa State,
12/21,#14 Illinois,#19 Lehigh,
12/21,#11 Northern Iowa,#23 North Carolina,
12/21,#7 NC State,#35 George Mason,
12/21,#3 Ohio State,#40 Little Rock,
12/21,#20 Cornell,#40 Little Rock,
12/21,#46 Rider,#22 Columbia,
12/21,#61 The Citadel,#7 NC State,
12/21,#21 Oklahoma,#50 SIU Edwardsville,
12/21,#37 Bucknell,#36 Virginia,
12/21,#7 NC State,#66 Buffalo,
12/21,#22 Columbia,#63 Clarion,
12/21,#15 South Dakota State,#73 Campbell,
12/21,#21 Oklahoma,#71 Duke,
12/21,#77 Morgan State,#24 Navy,
12/21,#35 George Mason,#66 Buffalo,
12/21,#37 Bucknell,#67 Hofstra,
12/21,#46 Rider,#63 Clarion,
12/21,#52 Central Michigan,#59 American,
12/21,#37 Bucknell,#77 Morgan State,
12/21,#50 SIU Edwardsville,#71 Duke,
12/21,#61 The Citadel,#66 Buffalo,
12/21,#52 Central Michigan,#75 CSU Bakersfield,
12/21,#64 Ohio,#65 Gardner-Webb,
12/21,#75 CSU Bakersfield,#59 American,
12/21,#74 LIU,#71 Duke,
12/21,#74 LIU,#50 SIU Edwardsville,
12/21,#67 Hofstra,#36 Virginia,
12/21,#77 Morgan State,#36 Virginia,
12/21,#77 Morgan State,#67 Hofstra,
12/22,#34 Pennsylvania,#36 Virginia,
12/30,#44 California Baptist,#68 Northern Colorado,
01/02,#15 South Dakota State,#32 Arizona State,
01/02,#46 Rider,#29 Purdue,
01/02,#64 Ohio,#72 Bloomsburg,
01/03,#4 Nebraska,#11 Northern Iowa,
01/03,#43 Drexel,#29 Purdue,
01/03,#74 LIU,#22 Columbia,
01/04,#26 Stanford,#6 Iowa State,
01/04,#30 Oregon State,#3 Ohio State,
01/04,#39 Lock Haven,#33 Princeton,
01/04,#33 Princeton,#67 Hofstra,
01/04,#62 Binghamton,#39 Lock Haven,
01/04,#74 LIU,#37 Bucknell,
01/04,#67 Hofstra,#62 Binghamton,
01/06,#32 Arizona State,#6 Iowa State,
01/08,#46 Rider,#60 Kent State,
01/08,#78 Presbyterian,#49 Appalachian State,
01/08,#62 Binghamton,#66 Buffalo,
01/09,#18 Pittsburgh,#9 Virginia Tech,
01/09,#2 Iowa,#28 Wisconsin,
01/09,#7 NC State,#36 Virginia,
01/09,#32 Arizona State,#16 West Virginia,
01/09,#13 Michigan,#45 Michigan State,
01/09,#51 Northwestern,#41 Maryland,
01/09,#26 Stanford,#71 Duke,
01/10,#1 Penn State,#12 Rutgers,
01/10,#14 Illinois,#8 Minnesota,
01/10,#19 Lehigh,#20 Cornell,
01/10,#37 Bucknell,#20 Cornell,
01/10,#25 Wyoming,#38 Utah Valley,
01/10,#48 Edinboro,#40 Little Rock,
01/10,#50 SIU Edwardsville,#40 Little Rock,
01/10,#50 SIU Edwardsville,#48 Edinboro,
01/10,#47 Cal Poly,#71 Duke,
01/10,#76 Sacred Heart,Bridgeport,
01/11,#3 Ohio State,#17 Indiana,
01/11,#5 Oklahoma State,#21 Oklahoma,
01/11,#31 North Dakota State,#6 Iowa State,
01/11,#44 California Baptist,#16 West Virginia,
01/11,#28 Wisconsin,#41 Maryland,
01/11,#19 Lehigh,#59 American,
01/11,#68 Northern Colorado,#34 Pennsylvania,
01/15,#32 Arizona State,#10 Missouri,
01/15,#49 Appalachian State,#70 VMI,
