pair_id,status,approved,reason,gender,season,gap_days,name_similar,shared_bouts,shared_specific,conflicts,overlap_pct,event_a,date_a,n_bouts_a,event_b,date_b,n_bouts_b
5,rejected,no,as many conflicting results as matching ones,boys,2013,1,yes,3,2,5,9.1,Dragon Invitational,2013-01-18,33,Dragon Invitational,2013-01-19,222
9,rejected,no,"one is a dual, the other a tournament, and no identical-proof bouts",boys,2013,1,no,2,0,0,14.3,Fern Creek Gladiator Day 2,2012-12-29,29,vs. Seneca,2012-12-28,14
15,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,14,yes,1,0,3,3.1,vs. North Oldham,2012-11-24,42,vs. North Oldham,2012-12-08,32
16,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,14,yes,1,1,3,4.3,vs. Caldwell County,2012-12-01,25,vs. Caldwell County,2012-12-15,23
17,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,14,yes,1,1,1,20.0,vs. Holy Cross (Louisville),2012-12-01,5,vs. Holy Cross (Louisville),2012-12-15,7
18,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,9,yes,1,0,2,6.2,vs. Trigg County,2012-12-06,16,vs. Trigg County,2012-12-15,28
19,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,1,no,1,1,1,4.0,JCTC,2013-01-04,55,Jeff Co. Tournament of Champions,2013-01-05,25
20,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,6,yes,1,1,3,5.0,vs. Chesapeake,2013-01-05,20,vs. Chesapeake,2013-01-11,20
21,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,3,yes,1,1,1,16.7,vs. Desales,2013-01-09,10,vs. Desales,2013-01-12,6
22,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,1,yes,1,1,1,2.0,WSAZ,2013-01-19,125,WSAZ Invitational (WV),2013-01-18,51
23,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,1,yes,1,1,2,3.7,Dragon Inv.,2013-01-19,27,Dragon Invitational,2013-01-18,33
24,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,1,yes,1,1,1,5.6,Dragon Invitation,2013-01-19,18,Dragon Invitational,2013-01-18,33
25,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,7,yes,0,0,3,0.0,vs. Danville,2012-11-24,22,vs. Danville,2012-12-01,13
26,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,4,yes,0,0,4,0.0,vs. Paducah Tilghman,2012-11-27,9,vs. Paducah Tilghman,2012-12-01,10
27,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,7,yes,0,0,4,0.0,vs. Scott County,2012-12-01,17,vs. Scott County,2012-12-08,15
28,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,14,yes,0,0,2,0.0,vs. Campbell County,2012-12-01,18,vs. Campbell County,2012-12-15,24
29,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,3,yes,0,0,4,0.0,vs. North Oldham,2012-12-12,20,vs. North Oldham,2012-12-15,35
30,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,5,yes,0,0,4,0.0,vs. La Rue County,2012-12-15,37,vs. La Rue County,2012-12-20,23
31,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,7,yes,0,0,2,0.0,Lafayette Open,2012-12-22,44,vs. Lafayette,2012-12-15,21
32,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,8,yes,0,0,3,0.0,vs. William Blount,2012-12-27,23,vs. William Blount,2013-01-04,9
33,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,1,no,0,0,2,0.0,Christian Co.,2012-12-28,15,Toyota of Hopkinsville Christian County Invitational,2012-12-29,35
34,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,1,no,0,0,2,0.0,Gladiator,2012-12-29,45,vs. Central,2012-12-28,23
35,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,1,no,0,0,3,0.0,Fern Creek Gladiator Tournament,2012-12-29,43,vs. Fairdale,2012-12-28,11
36,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,1,no,0,0,2,0.0,Gladiator Individual,2012-12-29,30,vs. Pleasure Ridge Park,2012-12-28,18
37,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,8,yes,0,0,2,0.0,vs. Fairland,2013-01-03,7,vs. Fairland,2013-01-11,12
38,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,5,yes,0,0,2,0.0,vs. Paducah Tilghman,2013-01-05,7,vs. Paducah Tilghman,2013-01-10,12
39,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,7,yes,0,0,3,0.0,vs. Sheldon Clark,2013-01-05,8,vs. Sheldon Clark,2013-01-12,17
40,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,6,yes,0,0,2,0.0,vs. Spring Valley,2013-01-05,17,vs. Spring Valley,2013-01-11,16
41,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,1,yes,0,0,5,0.0,vs. Ashland Blazer,2013-01-11,13,vs. Ashland Blazer,2013-01-12,12
42,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,11,yes,0,0,4,0.0,vs. Taylor County,2013-01-12,29,vs. Taylor County,2013-01-23,19
43,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,2,no,0,0,2,0.0,Laker Invitational,2013-01-26,56,vs. Trigg County,2013-01-24,8
44,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,3,no,0,0,3,0.0,Fort Knox Invitational,2013-01-26,201,vs. Taylor County,2013-01-23,19
45,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,3,no,0,0,2,0.0,Fort Knox Invitational,2013-01-26,201,vs. Doss,2013-01-23,12
46,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,3,no,0,0,3,0.0,Calloway County Invitational @ Calloway,2013-01-26,25,vs. Graves County,2013-01-29,9
47,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,1,yes,0,0,2,0.0,vs. Whitley County,2013-01-30,10,vs. Whitley County,2013-01-31,9
48,rejected,no,shared bouts have different real results (times/scores differ),boys,2013,1,yes,0,0,3,0.0,vs. Whitley County,2013-02-01,6,vs. Whitley County,2013-02-02,11
49,rejected,yes,shared bouts have different real results (times/scores differ),boys,2013,1,no,0,0,2,0.0,KHSAA Region 1,2013-02-09,220,Regionals,2013-02-08,10
52,rejected,no,as many conflicting results as matching ones,boys,2014,7,yes,11,11,15,33.3,KHSAA Region 8,2014-02-08,35,Region 8 Tournament,2014-02-15,33
54,rejected,no,as many conflicting results as matching ones,boys,2014,7,yes,5,4,6,16.1,Mustang Classic,2014-02-08,205,Mustang Classic Matches,2014-02-01,31
56,rejected,no,"one is a dual, the other a tournament, and no identical-proof bouts",boys,2014,3,no,3,0,0,12.0,Charger Fall Brawl,2013-11-30,29,vs. North Oldham,2013-12-03,25
57,rejected,no,as many conflicting results as matching ones,boys,2014,1,no,3,1,3,18.8,vs. Oldham County,2013-12-20,16,vs. Wayne County,2013-12-21,17
58,rejected,no,"one is a dual, the other a tournament, and no identical-proof bouts",boys,2014,1,no,2,0,0,25.0,Johnson Central,2013-12-13,8,vs. Sheldon Clark,2013-12-14,9
59,rejected,no,as many conflicting results as matching ones,boys,2014,4,yes,2,0,2,18.2,vs. Taylor County,2013-12-14,32,vs. Taylor County,2013-12-18,11
61,rejected,no,"one is a dual, the other a tournament, and no identical-proof bouts",boys,2014,1,no,2,0,0,5.0,Fern Creek Gladiator Tournament,2014-01-04,382,vs. Spencer County,2014-01-03,40
64,rejected,no,"one is a dual, the other a tournament, and no identical-proof bouts",boys,2014,2,yes,2,0,0,40.0,Perry Central Invitational Tournament,2014-02-08,18,vs. Perry County Central,2014-02-06,5
65,rejected,no,different events 3 days apart with no identical-proof bouts,boys,2014,3,no,2,0,0,40.0,Perry Central Invitational Tournament,2014-02-08,18,Pike Central Wrestling Matches,2014-02-11,5
66,rejected,no,shared bouts have different real results (times/scores differ),boys,2014,6,yes,1,1,4,10.0,vs. Meade County,2013-12-21,65,vs. Meade County,2013-12-27,10
