pair_id,status,approved,reason,gender,season,gap_days,name_similar,shared_bouts,shared_specific,conflicts,overlap_pct,event_a,date_a,n_bouts_a,event_b,date_b,n_bouts_b
1,review,no,2 conflicting results alongside 7 matching,boys,2013,1,yes,7,7,2,38.9,vs. Meade County,2012-12-20,32,vs. Meade County,2012-12-21,18
2,review,no,6 conflicting results alongside 5 matching,boys,2013,1,no,7,5,6,12.7,JCTC,2013-01-04,55,Jefferson County tournament of Champions,2013-01-05,182
3,review,no,only 0:00-placeholder overlap (no identical scores/times),boys,2013,1,no,5,0,0,20.0,Laexington Lafayette Invitational,2012-12-21,25,Lafayette Classic,2012-12-22,83
4,review,no,only 0:00-placeholder overlap (no identical scores/times),boys,2013,1,no,4,0,0,16.0,Laexington Lafayette Invitational,2012-12-21,25,Lafayette Open,2012-12-22,44
6,review,no,only 0:00-placeholder overlap (no identical scores/times),boys,2013,3,yes,2,0,1,22.2,vs. Danville,2012-12-05,9,vs. Danville,2012-12-08,13
7,review,no,only 1 identical-proof bout(s); names differ,boys,2013,1,no,2,1,0,8.0,Laexington Lafayette Invitational,2012-12-21,25,Lafayette Inviational,2012-12-22,25
8,review,no,only 0:00-placeholder overlap (no identical scores/times),boys,2013,1,no,2,0,0,8.0,Laexington Lafayette Invitational,2012-12-21,25,Lafayette 5 Star Classic,2012-12-22,28
10,review,no,only 2 identical-proof bout(s); names differ,boys,2013,1,no,2,2,1,8.7,JCTC,2013-01-04,55,Jeff Co. TOC,2013-01-05,23
11,review,no,only 0:00-placeholder overlap (no identical scores/times),boys,2013,1,no,2,0,0,50.0,JCTOC,2013-01-04,4,Jefferson County tournament of Champions,2013-01-05,182
12,review,no,1 conflicting results alongside 2 matching,boys,2013,1,yes,2,2,1,6.1,Dragon Invitational,2013-01-18,33,South Oldham Dragon,2013-01-19,89
13,review,no,1 conflicting results alongside 2 matching,boys,2013,1,yes,2,2,1,6.9,Dragon Invitational,2013-01-18,33,Dragon Invitational South Oldham,2013-01-19,29
14,review,no,only 2 identical-proof bout(s); names differ,boys,2013,1,no,2,2,1,20.0,KHSAA Region I Championships @ Christian Co. HS,2013-02-09,23,Regionals,2013-02-08,10
50,review,no,6 conflicting results alongside 13 matching,boys,2014,7,yes,16,13,6,41.0,Fort Knox Invitational,2014-02-01,243,Fort Knox Invitational,2014-02-08,39
51,review,no,4 conflicting results alongside 11 matching,boys,2014,1,yes,11,11,4,68.8,Fern Creek Gladiator Dual Tournament,2014-01-03,16,Fern Creek Gladiator Individual Tournament,2014-01-04,17
53,review,no,only 0:00-placeholder overlap (no identical scores/times),boys,2014,2,no,5,0,0,41.7,vs. Caldwell County,2014-01-25,18,vs. Union County,2014-01-23,12
55,review,no,only 0:00-placeholder overlap (no identical scores/times),boys,2014,3,yes,4,0,0,36.4,vs. Spencer County,2013-12-18,11,vs. Spencer County,2013-12-21,39
60,review,no,1 conflicting results alongside 2 matching,boys,2014,3,yes,2,2,1,9.5,vs. Pleasure Ridge Park,2013-12-18,21,vs. Pleasure Ridge Park,2013-12-21,22
62,review,no,only 2 identical-proof bout(s); names differ,boys,2014,1,no,2,2,0,100.0,JCTC,2014-01-11,2,Jefferson County,2014-01-10,12
63,review,no,only 0:00-placeholder overlap (no identical scores/times),boys,2014,3,no,2,0,0,50.0,vs. St. Xavier,2014-01-29,4,vs. Trinity (Louisville),2014-02-01,40
93,review,no,3 conflicting results alongside 11 matching,boys,2015,1,yes,30,11,3,44.8,2014 Five Star Classic,2014-12-19,185,2014 Five Star Classic,2014-12-20,67
94,review,no,only 0:00-placeholder overlap (no identical scores/times),boys,2015,2,no,6,0,0,75.0,vs. Danville,2015-01-16,8,vs. Montgomery County,2015-01-14,16
95,review,no,only 0:00-placeholder overlap (no identical scores/times),boys,2015,2,no,6,0,0,75.0,vs. Boyle County,2015-01-16,8,vs. Montgomery County,2015-01-14,16
96,review,no,2 conflicting results alongside 2 matching,boys,2015,1,yes,4,2,2,26.7,vs. Central,2014-12-05,16,vs. Central,2014-12-06,15
98,review,no,only 2 identical-proof bout(s); names differ,boys,2015,1,no,2,2,1,50.0,vs. Desales,2014-12-05,4,vs. Pleasure Ridge Park,2014-12-06,13
